x,y:=euler_q(x),lny:=ln(y),v:=lny*(1-x^2),extrapolation_limit(v),extrapolation_error(v)
-1+2^-8,6.6222711199487819423574037541174446997030948810949322067969886857083750886e-45,-101.72589080413934865236680186415424344294202199398202854594417429027073779,-0.79318130799736339052367303089268216551732442075996119059719044589734416219,-0.82439351202730359935022911320214136152795197563566815640161049679258855839,NaN
-1+2^-9,1.7822945467611258592211051229208681157603592355410366213789895744726344187e-90,-206.65475676408497074593089782476478666423012616657405193016809025989782,-0.80645681827415056256518290891546011641505210521089651155304701361036479897,-0.8232459913008013737759679262527591405880170695760357245787827748494668904,1.1475207265022256e-3
-1+2^-10,9.1240462041441692427997196993363814187901766322001267350480621152000676068e-182,-416.85957355648417944589382844605061984175319846152918419193377645214897218,-0.81378130633365928204130617792994081384283904767107986454094738044505018812,-0.8227962492081996499297563812680809023113068355105513065686841735362038089,4.4974209260172385e-4
-1+2^-11,1.6903537219919006291854577352878595698767200622182783529113706687595875759e-364,-837.61603603984466687350238021979856078462643363420743519894475673855013909,-0.81778470697001550456213766264917256985021716254522310427181214781865187158,-0.82247385988673549135692586682273487952279959159449145032735504366745531485,3.2238932146415857e-4
-1+2^-12,4.1019223008590544811506938069022335674744287937487935860052521468679305954e-730,-1679.4756621679526569161858072544682750495239763748681070781614096575495579,-0.81995637111769319849017131013997493034187858644047645718319535890251329114,-0.82246915898857171546819699940331514825304362469803062709500084414500924153,4.7008981637758887e-6
-1+2^-13,1.7079077528459031314799032618014920893201123717618098707954331241961449628e-1461,-3363.5415517792653199499713072954361867718017645067452935517382086497606234,-0.82112701599001442993790477406116025221172613364329946256068538237078530034,-0.82246700659272774032911112652071388547921984034108330519232899097711446169,2.1523958439751391e-6
-1+2^-14,2.0935798449225182780583015503445656833953039816568539651802702848286574447e-2924,-6732.0199364693974789380761731584530001932008462912975531404666217893731071,-0.82175469867249111530320324736044939405221720088432336942759778274659957216,-0.82246702778927668011855032850897567239254434917302595642664878423984806628,2.1196548939789439e-8
-1+2^-15,2.2244254062983334603596841731802120535819791766703958133188886560154750098e-5850,-13469.323295377260164248562269005101348927217130934016740652409565300529536,-0.82208970763026619783046611426328245261865218605451359143355457192470338487,-0.82246703220706988686123081019025636062368871229686164982480529898513067908,4.4177932067426805e-9
-1+2^-16,1.7756445161708275383931162256253575706260585232203374564691184144570322497e-11702,-26944.276594751600988270573462336966761282328020858212781591779393996391624,-0.82226779254867860421855289821558831501007918641481241385825353603588907201,-0.82246703315596748687387276136358532238553624622374721916901260565190693597,9.4889760001264195e-10
-1+2^-17,8.0004727763538074160891581250888925850483828355201603513551993409101978229e-23407,-53894.52977107464942547699934229260517362915723821427251286524510314131476,-0.82236212432494048403708829070596317749183323268645932195591937908162209642,-0.82246703336414915924310210030888688134896293509419640479812017481212780116,2.0818167236922934e-10
-1+2^-18,1.1484683822902061587724268176944547256726616485810963565535010397298914772e-46815,-107795.38269930304945049234857659957090091744121605764543952424777157052725,-0.82241193463079249904331346563674246468769419156659881634625852590271674884,-0.8224670334105477838103285436254750160672562466847691328833937328547869497,4.6398624567226443e-11
-1+2^-19,1.6734409661101676680127200305709483508051823878006599227275098449620139059e-93633,-215597.4351303461360046576707808981447710385444736274638668336801381436312,-0.82243816192859485294714947354470595074705394571150070232457483562340333478,-0.82246703342101572731476335452808066633316247347129045867218974609289737177,1.0467943504434811e-11
-1+2^-20,2.5123369640517839539315583661636943853096553922224351789522932805094343241e-187269,-431201.88656652059108701980324935080828749723833422567249748088691139110991,-0.82245193663299253250328062440910734671973215960848365585094556032992002432,-0.82246703342340051685381044856483623833115576248600143195568447859692119883,2.3847895390470940e-12
-1+2^-21,4.0040340847142122186874634567505941240957997677709241937442388832767887309e-374541,-862411.13601270878190899766157128308398010606495804638146300834491019497411,-0.82245915450846780051671308204309237976008507952695454421460460482236738027,-0.82246703342394817626758734541057597296283531601244672526088635996686354933,5.4765941377689685e-13
-1+2^-22,7.1915494180407365466663471550576248054134050683257443923440596677257317344e-749085,-1724829.9814787999437888853141736648313212645669418439878761812776747030555,-0.82246292870666659155557737612266487415555384331471038135566967634821127003,-0.82246703342407478905268658349906074722855785415570162018507559542574265513,1.2661278509923809e-13
-1+2^-23,1.6404267815155194770926243487273533360103519433156485352388431251204286913e-1498172,-3449668.018984634797633198408054686210057838171013328957509354670915345037,-0.82246489843568752599443400910091671539242260891878384805210526771476495589,-0.82246703342410422770870785531380686783567108109439509055324308765260859438,2.9438656021271815e-14
-1+2^-24,6.0354631577777398637692959079893928165482664769420442972214565897905388157e-2996348,-6899344.4405699259103454819635788118156170689895106821294818901610330699951,-0.82246592461507780894365162079626598103170800808490492981886585666715573903,-0.82246703342411110617382949807614876188564013769627300315264661299536265011,6.8784651216427623e-15
-1+2^-25,5.7770097850861121799617286537423280527856499355142913883841201707988405931e-5992699,-13798697.630314113978266970392909950668552478510296386951732594727399162698,-0.82246645836219169639305368015667068237974629654900511018916581224718310121,-0.82246703342411272025460960781509111581512114372236616505529559115933501618,1.6140807801097389e-15
1-2^-8,1.1954186273535305415608889845677685932992661829994260813690647089244046938e-181,-416.5894053921080270041724619355758445101199127283897889533188251602598942,-3.2482480797632934844838276374676400229594615997956418175528857369520997,-3.2911516508342708192928919577818728796042124269203036522431866141845941212,NaN
1-2^-9,2.2147959455022187463722281650581297253055918715384250152508976842016303057e-364,-837.34581357450596313974373387406676974582584078564679378863061672105227307,-3.2676878634899887096098245229842006891249841122578303148108258091187914862,-3.2903928893984104249154683881834715285182077515786255859157148042268223608,7.5876143586039438e-4
1-2^-10,5.3747136756068677170845261688524376147485148398556571364538462240814505319e-730,-1679.2054125827130375127994443643387621821834208635259780927789100115696118,-3.2780966563766609075438503862512602292889876008106591006812271392762021974,-3.2900934539902172838873914003641711117462184292503574253839998000918955004,2.9943540819314103e-4
1-2^-11,2.2378872360680254272853601712533521617391353282312510244297731167195359992e-1461,-3363.2712886417090150392871740823143940538495984838237701475345979352996502,-3.2836427514523979226555540508907025918127331985929628226170907446253423852,-3.2898763040330196142260533575692198957245855018208069169698638190253886792,2.1714995719766966e-4
1-2^-12,2.7432555087558850035380303495132003173273478645632681221219457648981415706e-2924,-6731.7496665575898621391229819888700232373111329845879959484827312598225427,-3.286585898326231155442092200843741557618189781324670331169010523065877345,-3.2898707069114296815004564175011910774915780671703525299725289138322360073,5.5971215899327256e-6
1-2^-13,2.9147146837403525194381886995672898714416291384811152618214687698254212179e-5850,-13469.053022078803472850187032252358190010184265075000574726915348196289246,-3.2881423184382474019483419380991218123873598696995337965451338015422196198,-3.2898681143798463295949603424892176381086267998277724545862367518935896078,2.5925315833519055e-6
1-2^-14,2.3266709204629651763224355646069158812616566794868029635472489288686428871e-11702,-26944.006319759938882871915998082655246784741637987137767423449500334182342,-3.2889628972097259662116470616652606594241992728856375188572860128337523073,-3.2898681294621037047170332866980673711940806694071024855973503843634061418,1.5082257375122073e-8
1-2^-15,1.048322620191507216304259215190776005235836237538556881838642299092221096e-23406,-53894.2594952364143911490705424427562075051952421670532067505884393326332,-3.2893943563292905847765080053349826746237026249947192444507030894715936079,-3.2898681327512677444689939333370134927099679967725186948451949421632059488,3.2891640397519606e-9
1-2^-16,1.5048684334023450793879168357972474291104338978521118274288079310892691629e-46815,-107795.11242304153539587329100682592234977860872582580158090839261904298794,-3.2896206668579199085646560707957671182946842220385357828371329067672098691,-3.289868133482686917713100185395722570148413833612368224048447296821651035,7.3141917324410625e-10
1-2^-17,2.1927543299090214310132464197168076931481143281545346941842313529271396591e-93633,-215597.16485387298430089340159956185854013618847589213969234124467930928876,-3.2897391115716207844431686084434590467302431850482123656762653789464486114,-3.2898681336476218175968125244976822224927206968187655026075029512854823727,1.6493489988371234e-10
1-2^-18,3.2919824783942516377055807345947018529346704810210680991503114950924400003e-187269,-431201.61628994162102392763860964418543459914464926763327384877982680307735,-3.2898009783792749318202833799839503051618475256070171547798433345313985048,-3.2898681336852094655365831190191401287767022128670163757187441086861809903,3.7587647939770595e-11
1-2^-19,5.246593484784773460622928323720557568017230626874029769661889752331930854e-374541,-862410.86573607690278255205456774794888832978626345381383063556654781953532,-3.2898332339362490104948465909487869994539520326041423062177589206580882792,-3.2898681336938471641255551802502794324814295008971391358341274537646197275,8.6376985889720612e-12
1-2^-20,9.4232807518799563724526695719386594269345889744302813008727131526044253423e-749085,-1724829.7112021416101598405283024454755295084388413606597588434584656279027,-3.2898500227723002170826655162909463173966143149524199079441298797652507545,-3.2898681336958456743139896911321568534460252401078452115667322064108941302,1.9985101884345109e-12
1-2^-21,2.1494953897993823497817236463616868803528517035975099273988722471653163904e-1498172,-3449667.748707963236760123407824829729077939694687968209516819555543879993,-3.2898587477141191647735231276351230024285518300641408871072200809695374315,-3.2898681336963107144037258040046273236849220388507549294249314278437750286,4.6504008973611287e-13
1-2^-22,7.9084299676951834264884120010413428657572612450372760545700310009169070506e-2996348,-6899344.1702932477358522091986255212101995510931265171364961151815218848228,-3.2898632754456190246914953291397090198716128780153413536499594604561453751,-3.2898681336964194544551258257241921575683224682613478675584484560597884657,1.0874005140002172e-13
1-2^-23,7.5697715758973815745181667800931558883320382316155325386208311398309521384e-5992699,-13798697.360037432496964053081044799650521215334989908103287158643950618257,-3.289865621941322800830004749344951568001523749791526698218872117375155595,-3.2898681336964449887181909910134341554695615604453690221929131230941288948,2.5534263065165289e-14
1-2^-24,4.9040261112249233741447211423945186240434467985809850116804202773327505069e-11985401,-27597404.086099405040636800583605379521301254507593200099624825072216383564,-3.289866836504062581444073463086917422431255796014948376225299564526788243,-3.2898681336964510069309060150918799219785111595259965468797614138483526955,6.0182127150240784e-15
